Library,File Size (KB),Load Time (ns)
stempeg,86.17578125,0.096270641
ar_ffmpeg,86.17578125,0.039310137
torchaudio-ffmpeg,86.17578125,0.007045492
torchaudio-streamreader,86.17578125,0.007215635
stempeg,947.5039063,0.095576262
ar_ffmpeg,947.5039063,0.044803548
torchaudio-ffmpeg,947.5039063,0.012237826983133951
torchaudio-streamreader,947.5039063,0.012013999621073405
stempeg,1808.832031,0.10473330815633138
ar_ffmpeg,1808.832031,0.045998096
torchaudio-ffmpeg,1808.832031,0.018758789698282877
torchaudio-streamreader,1808.832031,0.014472603797912598
stempeg,2670.160156,0.1112899382909139
ar_ffmpeg,2670.160156,0.047146789
torchaudio-ffmpeg,2670.160156,0.01758407
torchaudio-streamreader,2670.160156,0.017001303
stempeg,3531.488281,0.11874509652455648
ar_ffmpeg,3531.488281,0.054956301
torchaudio-ffmpeg,3531.488281,0.019069298108418783
torchaudio-streamreader,3531.488281,0.02065587
stempeg,4392.816406,0.11966856320699056
ar_ffmpeg,4392.816406,0.051318836
torchaudio-ffmpeg,4392.816406,0.022059464
torchaudio-streamreader,4392.816406,0.024190862973531086
stempeg,5254.144531,0.13691515922546388
ar_ffmpeg,5254.144531,0.052093132336934404
torchaudio-ffmpeg,5254.144531,0.026901666323343912
torchaudio-streamreader,5254.144531,0.028222632
stempeg,6115.472656,0.1400501330693563
ar_ffmpeg,6115.472656,0.050226959
torchaudio-ffmpeg,6115.472656,0.028822867075602214
torchaudio-streamreader,6115.472656,0.029787500699361164
stempeg,6976.800781,0.15207877159118652
ar_ffmpeg,6976.800781,0.055829397837320965
torchaudio-ffmpeg,6976.800781,0.030812097
torchaudio-streamreader,6976.800781,0.032578468322753906
stempeg,7838.128906,0.16520963509877523
ar_ffmpeg,7838.128906,0.058104968070983885
torchaudio-ffmpeg,7838.128906,0.034314632415771484
torchaudio-streamreader,7838.128906,0.036294731
stempeg,8699.457031,0.16740399201711018
ar_ffmpeg,8699.457031,0.058036494
torchaudio-ffmpeg,8699.457031,0.036040004
torchaudio-streamreader,8699.457031,0.037839572
stempeg,9560.785156,0.17027950286865234
ar_ffmpeg,9560.785156,0.06134696
torchaudio-ffmpeg,9560.785156,0.038167866071065266
torchaudio-streamreader,9560.785156,0.043167996
stempeg,10422.11328,0.17962706883748372
ar_ffmpeg,10422.11328,0.06314954
torchaudio-ffmpeg,10422.11328,0.040875395
torchaudio-streamreader,10422.11328,0.044226431846618654
stempeg,11283.44141,0.18046057224273682
ar_ffmpeg,11283.44141,0.088343636
torchaudio-ffmpeg,11283.44141,0.044577836990356445
torchaudio-streamreader,11283.44141,0.046942107
stempeg,12144.76953,0.19113109906514486
ar_ffmpeg,12144.76953,0.06494236
torchaudio-ffmpeg,12144.76953,0.047236299514770506
torchaudio-streamreader,12144.76953,0.050620969
stempeg,13006.09766,0.19308546384175618
ar_ffmpeg,13006.09766,0.073234367
torchaudio-ffmpeg,13006.09766,0.050291602
torchaudio-streamreader,13006.09766,0.054331270853678386